epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1135.06,1.12932,0.66151,1.39631,0.93164,0.91067,0.91698,0.52362,1.4613,0.54125,1.61713,0.000396125,0.000396125,0.000396125
71,1151.01,1.14927,0.66736,1.40805,0.9392,0.91615,0.90748,0.5332,1.40851,0.53906,1.59914,0.00038375,0.00038375,0.00038375
72,1166.93,1.15113,0.65466,1.43288,0.93591,0.91013,0.93311,0.57176,1.317,0.51001,1.53479,0.000371375,0.000371375,0.000371375
73,1182.8,1.11444,0.64433,1.39811,0.93358,0.91435,0.92174,0.50837,1.51039,0.54659,1.66306,0.000359,0.000359,0.000359
74,1198.73,1.12877,0.62228,1.40461,0.85028,0.92884,0.90058,0.41401,1.89138,0.62676,2.01511,0.000346625,0.000346625,0.000346625
75,1214.6,1.11408,0.62636,1.40495,0.89634,0.8649,0.84974,0.37492,2.06194,0.66405,2.25751,0.00033425,0.00033425,0.00033425
76,1230.46,1.08852,0.63696,1.38747,0.9127,0.89217,0.89438,0.47515,1.63554,0.57155,1.79952,0.000321875,0.000321875,0.000321875
77,1246.46,1.09491,0.60499,1.36985,0.88638,0.89145,0.90058,0.55647,1.32043,0.5194,1.53207,0.0003095,0.0003095,0.0003095
78,1262.32,1.1027,0.63123,1.40439,0.81611,0.92792,0.8882,0.50013,1.44158,0.52289,1.6224,0.000297125,0.000297125,0.000297125
79,1278.15,1.09189,0.62327,1.37997,0.84171,0.90344,0.88165,0.50464,1.49657,0.54517,1.63986,0.00028475,0.00028475,0.00028475
80,1294.15,1.06129,0.59281,1.34323,0.86535,0.8513,0.85522,0.48368,1.61443,0.55036,1.78639,0.000272375,0.000272375,0.000272375
81,1310.05,1.05552,0.59276,1.36647,0.85207,0.90822,0.88483,0.53681,1.39263,0.53955,1.58609,0.00026,0.00026,0.00026
82,1325.95,1.07325,0.6079,1.37029,0.90153,0.94506,0.92023,0.54815,1.37642,0.51981,1.55956,0.000247625,0.000247625,0.000247625
83,1341.99,1.06636,0.60636,1.35304,0.93479,0.90872,0.90626,0.50406,1.45855,0.52293,1.62509,0.00023525,0.00023525,0.00023525
84,1358.29,1.0441,0.58812,1.34853,0.88522,0.86933,0.88359,0.51268,1.43347,0.51878,1.64538,0.000222875,0.000222875,0.000222875
85,1374.2,1.03375,0.57909,1.33411,0.94412,0.91629,0.90989,0.50148,1.53784,0.55988,1.69815,0.0002105,0.0002105,0.0002105
86,1390.12,1.05996,0.61008,1.34601,0.9356,0.91667,0.91735,0.57989,1.29075,0.491,1.50584,0.000198125,0.000198125,0.000198125
87,1406.14,1.04333,0.58794,1.35719,0.93875,0.91667,0.92041,0.59081,1.22481,0.47101,1.43908,0.00018575,0.00018575,0.00018575
88,1421.99,1.01892,0.57287,1.33209,0.93277,0.91056,0.92178,0.55935,1.37236,0.49881,1.53411,0.000173375,0.000173375,0.000173375
89,1437.91,1.06484,0.58854,1.35047,0.93257,0.90665,0.92126,0.5855,1.28527,0.49099,1.48277,0.000161,0.000161,0.000161
90,1453.86,1.01774,0.56805,1.33149,0.93091,0.91199,0.91682,0.56465,1.33461,0.49603,1.50396,0.000148625,0.000148625,0.000148625
91,1494.29,0.96269,0.44599,1.35394,0.89745,0.91662,0.89895,0.54954,1.39955,0.5225,1.56573,0.00013625,0.00013625,0.00013625
92,1509.67,0.95033,0.43019,1.34161,0.92211,0.91034,0.92548,0.58815,1.25907,0.47868,1.47956,0.000123875,0.000123875,0.000123875
93,1524.9,0.92647,0.42246,1.33074,0.93259,0.90909,0.92163,0.55684,1.36018,0.49018,1.54113,0.0001115,0.0001115,0.0001115
94,1540.06,0.93972,0.42043,1.31447,0.93082,0.91227,0.91253,0.53883,1.40825,0.49438,1.58794,9.9125e-05,9.9125e-05,9.9125e-05
95,1555.34,0.91555,0.41212,1.32371,0.93246,0.91077,0.91463,0.54745,1.36345,0.48583,1.55242,8.675e-05,8.675e-05,8.675e-05
96,1570.63,0.91314,0.41556,1.30186,0.93141,0.91479,0.92556,0.60527,1.21994,0.45451,1.44028,7.4375e-05,7.4375e-05,7.4375e-05
97,1586.44,0.92279,0.42072,1.32075,0.93582,0.94973,0.93768,0.5931,1.22893,0.45263,1.45425,6.2e-05,6.2e-05,6.2e-05
98,1601.77,0.92196,0.40882,1.32068,0.93492,0.94942,0.93152,0.58465,1.26629,0.46675,1.47672,4.9625e-05,4.9625e-05,4.9625e-05
99,1617.08,0.91181,0.40669,1.31994,0.92279,0.94908,0.93794,0.60039,1.22287,0.45871,1.43949,3.725e-05,3.725e-05,3.725e-05
100,1632.37,0.89097,0.40535,1.30603,0.92423,0.94926,0.93809,0.58812,1.24796,0.46292,1.45758,2.4875e-05,2.4875e-05,2.4875e-05
